track_id,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,msPlayed
4Cdb1dE3pfiWlqnAIcImyQ,The Neighbourhood,modern alternative rock,0.587,0.744,7,-4.611,0,0.0742,0.00213,0.00181,0.114,0.236,118.962,219973,219799
4CLDrNSJcJQIeFkHCLM3gb,Lauv,pop,0.643,0.458,6,-8.636,1,0.0875,0.809,0.00015,0.237,0.506,164.16,159608,828121
3r7W1Kne3d3KE1JPNYiFWm,Loving Caliber,scandipop,0.612,0.362,0,-7.85,1,0.0307,0.686,0,0.111,0.459,140.043,211361,2858598
1rNOZOHhqdTG3tnt3oMNYq,WILLIS,alabama indie,0.522,0.624,11,-8.359,0,0.0323,0.157,0.00598,0.253,0.352,130.477,208760,19479
0ahoVVrk5FRFzVF8Fp7Pzp,Chris James,singer-songwriter pop,0.777,0.597,4,-5.125,1,0.0496,0.51,0,0.107,0.9,133.854,138281,138281
0y30gL6j3y3xDxK3sCOctP,Run River North,stomp and holler,0.439,0.903,7,-4.655,0,0.0692,0.000268,0,0.249,0.275,156.974,207120,36292
3vZGtceCbJVh5aDT4XhE0p,SZA,pop,0.504,0.267,9,-13.678,0,0.406,0.438,0,0.141,0.392,83.966,242823,84920
4R5tBwQiYVPpWKkzzdVmvQ,Hiroyuki Sawano,anime score,0.479,0.476,5,-12.218,1,0.0511,0.134,0.424,0.094,0.274,120.099,407573,3941
5E0yYdXdw4Lp8ffTA0KqEX,Griff Clawson,,0.544,0.342,0,-11.686,1,0.0321,0.818,0.0744,0.131,0.161,132.073,184987,2149083
,Idkconundrum,,,,,,,,,,,,,,1124698
2SUxn2O9NHL6GHGQFgwCY0,Ed Sheeran,pop,0.763,0.661,4,-5.592,0,0.056,0.169,0,0.117,0.632,95.002,153627,4701620
1vf09n9QoDVWhBImRgQQyG,Ed Sheeran,pop,0.747,0.667,4,-5.181,0,0.0566,0.18,0,0.146,0.508,95,153124,153124
2UN0lp72LAusrXi8LLVomt,Ed Sheeran,pop,0.693,0.643,4,-5.867,0,0.0828,0.138,0,0.108,0.477,95.055,163450,181369
5DoPoFpGLfEu9KyhbGULMB,Lil 2z,dfw rap,0.847,0.444,8,-10.167,0,0.492,0.336,0,0.0996,0.667,115.042,117943,117942
3G8o2zm7LaF6eeVuvLlrkJ,Sharry Mann,punjabi pop,0.69,0.926,0,-0.223,0,0.253,0.14,0,0.112,0.791,167.927,204396,781585
2AUvwye5K9DWdXOqlX1i0l,Ben Zaidi,folk-pop,0.713,0.418,2,-9.035,1,0.0519,0.5,0.000655,0.119,0.527,84.041,158507,789074
0KF5nzdiqZlxVK68MPITst,Ben Rector,acoustic pop,0.555,0.452,0,-9.636,1,0.0554,0.694,0,0.0595,0.321,179.921,256933,3158192
55MIRLbZzpYSmMlRt9ZDWM,Andrew Garfield,,0.466,0.789,0,-5.956,1,0.0663,0.0146,0,0.0637,0.36,175.772,262505,2559478
5cc9Zbfp9u10sfJeKZ3h16,Childish Gambino,atl hip hop,0.664,0.447,6,-7.272,0,0.289,0.112,0,0.091,0.659,83.138,234215,167230
6pmZMP2ET1OJi5rKfLO8jD,Bazzi,pop,0.651,0.654,1,-5.481,1,0.0466,0.385,0,0.181,0.539,141.975,167019,167018
75enpZYDT6k0PNKu6SJ4W5,girl in red,alt z,0.418,0.392,9,-13.771,1,0.0383,0.663,0.335,0.204,0.295,168.902,110862,18702
1XcXhu1X0xBFMDFyq0b7Ue,blackbear,pop,0.776,0.513,5,-6.757,1,0.0872,0.392,0,0.0642,0.813,153.934,158571,356134
4OFiDV3YIUVwMUNsXRnqeV,Diljit Dosanjh,filmi,0.687,0.855,4,-2.837,0,0.109,0.13,0,0.311,0.659,167.947,178421,7408
5KO53tfiVN6daF4w6twc63,Christine and the Queens,art pop,0.726,0.654,2,-6.201,1,0.0423,0.424,0,0.0668,0.624,129.013,208293,208293
1FSYDJAlyHAabWhiGgYfDq,Arya Acharya,,0.521,0.837,7,-4.501,1,0.0794,0.0593,1.28E-05,0.157,0.48,106.001,4581483,69198
5KocKlvTHArD4PQSaxuEZz,Hikaru Station,japanese vgm,0.285,0.803,1,-6.128,1,0.158,0.714,1.07E-05,0.0495,0.182,95.806,316800,7876
1HO5CGNK9d9zGUXpDAxigN,"oh, the joy.",sleep,0.751,0.193,3,-15.902,1,0.0449,0.936,0.94,0.11,0.219,113.987,177288,531864
7KvSuH86lIT2aTl9PBCAfd,Sneaker Pimps,electronica,0.587,0.687,1,-8.635,0,0.0509,0.0281,0.14,0.121,0.402,169.938,228840,228840
2YTsqpMJvfwPxDP7RuXjD2,Carlie Hanson,alt z,0.614,0.511,11,-8.758,0,0.0294,0.673,0.00176,0.339,0.486,148.024,204760,2208366
5zYqSr9RtfujCy72aCGYEC,Fly By Midnight,singer-songwriter pop,0.637,0.885,5,-4.522,1,0.0274,0.0318,0,0.107,0.613,127.027,190912,189783
6FYbr9QzRoZPh0Re8lDO9z,Dean Lewis,australian pop,0.613,0.739,10,-6.478,1,0.0311,0.526,0,0.149,0.712,104.966,211453,3049703
5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,danish pop,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,237300,4485906
230wNo1dnexltKYQbsW7oD,YNW Melly,melodic rap,0.676,0.623,6,-7.297,0,0.0352,0.226,1.66E-05,0.159,0.347,111.466,209489,209488
3PRqiN41BIPkeai16CWjqy,Boy In Space,alt z,0.618,0.47,0,-7.379,1,0.0271,0.0169,0,0.111,0.228,135.034,203555,4569846
